,date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AMD,AMZN,ANSS,ATVI,BKNG,COST,CSCO,EBAY,FB,FTNT,GOOG,GOOGL,HON,INTC,INTU,MRVL,MU,NFLX,NVDA,PYPL,QCOM,SBUX,TEAM,^NDX,period
0,2021-01-04,129.41000366210938,139.14999389648438,485.3399963378906,146.02000427246094,168.9600067138672,296.8399963378906,92.30000305175781,3186.6298828125,357.6700134277344,89.9000015258789,2164.080078125,380.1499938964844,43.959999084472656,51.5,268.94000244140625,145.55999755859375,1728.239990234375,1726.1300048828125,207.9499969482422,49.66999816894531,371.70001220703125,46.310001373291016,74.05000305175781,522.8599853515625,131.13499450683594,231.9199981689453,148.5,103.0999984741211,231.55999755859375,12694.66015625,2021-01
1,2021-01-05,131.00999450683594,148.3000030517578,485.69000244140625,148.6300048828125,168.49000549316406,301.70001220703125,92.7699966430664,3218.510009765625,359.8299865722656,90.69000244140625,2188.070068359375,375.739990234375,43.97999954223633,52.029998779296875,270.9700012207031,141.74000549316406,1740.9200439453125,1740.050048828125,208.4600067138672,50.61000061035156,368.8699951171875,47.61000061035156,77.26000213623047,520.7999877929688,134.04750061035156,234.91000366210938,152.42999267578125,103.44000244140625,234.4199981689453,12802.3798828125,2021-01
2,2021-01-06,126.5999984741211,142.77000427246094,466.30999755859375,149.3000030517578,167.89999389648438,302.8699951171875,90.33000183105469,3138.3798828125,349.8999938964844,88.0,2249.81005859375,370.0199890136719,44.400001525878906,53.220001220703125,263.30999755859375,138.11000061035156,1735.2900390625,1722.8800048828125,212.25999450683594,51.099998474121094,361.0,46.5099983215332,77.11000061035156,500.489990234375,126.1449966430664,226.8300018310547,151.19000244140625,104.19000244140625,224.47999572753906,12623.349609375,2021-01
3,2021-01-07,130.9199981689453,151.27000427246094,477.739990234375,155.61000061035156,168.85000610351562,315.20001220703125,95.16000366210938,3162.159912109375,365.0199890136719,89.66999816894531,2239.85009765625,367.9200134277344,44.959999084472656,53.060001373291016,268.739990234375,143.25,1787.25,1774.3399658203125,212.61000061035156,52.189998626708984,368.6300048828125,49.02000045776367,79.11000061035156,508.8900146484375,133.44000244140625,235.0399932861328,155.6999969482422,103.3499984741211,233.3800048828125,12939.5703125,2021-01
4,2021-01-08,132.0500030517578,149.77000427246094,485.1000061035156,156.74000549316406,171.0500030517578,319.8500061035156,94.58000183105469,3182.699951171875,374.6600036621094,91.30000305175781,2281.5400390625,369.94000244140625,45.060001373291016,54.47999954223633,267.57000732421875,148.13999938964844,1807.2099609375,1797.8299560546875,210.02999877929688,51.650001525878906,374.4599914550781,49.08000183105469,77.41999816894531,510.3999938964844,132.7675018310547,242.4600067138672,156.63999938964844,105.66999816894531,235.47999572753906,13105.2001953125,2021-01
5,2021-01-11,128.97999572753906,148.1300048828125,474.239990234375,158.3000030517578,168.50999450683594,317.80999755859375,97.25,3114.2099609375,373.3299865722656,90.91000366210938,2221.27001953125,364.010009765625,45.36000061035156,53.93000030517578,256.8399963378906,148.1699981689453,1766.719970703125,1756.2900390625,208.36000061035156,51.540000915527344,372.3399963378906,50.2400016784668,78.66999816894531,499.1000061035156,136.21499633789062,237.5,156.11000061035156,104.5999984741211,230.6699981689453,12902.490234375,2021-01
6,2021-01-12,128.8000030517578,160.8000030517578,471.6499938964844,159.08999633789062,169.05999755859375,320.1300048828125,95.36000061035156,3120.830078125,373.2699890136719,89.25,2196.340087890625,364.20001220703125,45.790000915527344,56.040000915527344,251.08999633789062,152.91000366210938,1746.550048828125,1737.4300537109375,208.8800048828125,53.2400016784668,365.6700134277344,50.63999938964844,79.45999908447266,494.25,134.84750366210938,237.63999938964844,154.4499969482422,102.81999969482422,234.19000244140625,12892.08984375,2021-01
7,2021-01-13,130.88999938964844,169.99000549316406,472.04998779296875,158.47999572753906,164.66000366210938,314.3299865722656,91.77999877929688,3165.889892578125,375.5799865722656,89.7699966430664,2182.419921875,366.95001220703125,45.36000061035156,55.709999084472656,251.63999938964844,147.89999389648438,1754.4000244140625,1747.25,207.02000427246094,56.95000076293945,364.9599914550781,50.2400016784668,79.91000366210938,507.7900085449219,135.3175048828125,244.89999389648438,157.4199981689453,102.88999938964844,229.8699951171875,12973.6298828125,2021-01
8,2021-01-14,128.91000366210938,180.5,463.2699890136719,159.4600067138672,161.91000366210938,311.1099853515625,90.79000091552734,3127.469970703125,369.04998779296875,89.98999786376953,2182.590087890625,362.3500061035156,45.150001525878906,55.27000045776367,245.63999938964844,147.52999877929688,1740.1800537109375,1730.9200439453125,208.61000061035156,59.25,365.510009765625,51.310001373291016,81.30000305175781,500.8599853515625,132.00250244140625,242.05999755859375,160.85000610351562,101.81999969482422,222.97000122070312,12898.6904296875,2021-01
9,2021-01-15,127.13999938964844,169.27000427246094,458.0799865722656,157.75,161.1199951171875,308.510009765625,88.20999908447266,3104.25,364.2799987792969,90.69000244140625,2119.22998046875,362.1600036621094,45.43000030517578,55.41999816894531,251.36000061035156,146.52999877929688,1736.18994140625,1727.6199951171875,205.97000122070312,57.58000183105469,371.010009765625,50.77000045776367,80.72000122070312,497.9800109863281,128.59500122070312,239.7899932861328,157.08999633789062,102.33000183105469,222.92999267578125,12803.9296875,2021-01
